tcgplayer_id,directLow,market,low,mid
66421 (Foil),14.68,16.05,12.99,15.99
71170 (Nonfoil),0.97,0.9,0.25,1.0
71170 (Foil),1.5,1.6,0.68,2.0
206641 (Nonfoil),,3.05,1.5,3.5
206641 (Foil),,7.56,6.5,8.46
71171 (Nonfoil),1.99,1.71,0.74,2.09
71171 (Foil),,4.47,1.7,4.47
206640 (Foil),,11.19,10.5,12.93
206640 (Nonfoil),5.99,4.9,3.1,4.92
206634 (Foil),1.24,1.15,0.49,1.62
206634 (Nonfoil),0.72,0.72,0.16,1.0
206639 (Nonfoil),3.98,3.31,2.0,3.86
206639 (Foil),,11.87,9.99,12.89
215595 (Foil),,3.11,2.39,3.6
215595 (Nonfoil),,1.65,1.0,2.01
215596 (Foil),2.53,2.53,2.0,3.46
215596 (Nonfoil),2.48,2.08,0.75,2.02
78660 (Nonfoil),1.22,1.17,0.34,1.89
78660 (Foil),2.55,5.11,1.0,4.61
206638 (Nonfoil),4.96,3.5,2.0,2.99
206638 (Foil),,7.33,5.45,8.06
215597 (Nonfoil),,1.82,1.0,2.03
215597 (Foil),2.59,2.56,1.45,3.0
206636 (Nonfoil),1.11,0.97,0.2,1.09
206636 (Foil),,1.11,0.5,1.3
206637 (Foil),,9.51,7.25,10.0
206637 (Nonfoil),3.1,3.16,2.18,3.28
215599 (Nonfoil),1.91,1.84,0.78,1.9
215599 (Foil),2.01,1.98,1.3,2.48
121180 (Foil),4.83,6.32,3.99,7.46
121180 (Nonfoil),,,,
7073 (Nonfoil),66.18,116.76,86.72,104.0
7073 (Foil),,,,
219103 (Nonfoil),3.5,3.49,2.75,4.49
219103 (Foil),6.0,5.08,4.01,6.99
5951 (Nonfoil),10.0,32.52,17.5,24.2
5951 (Foil),,,,
91106 (Nonfoil),22.8,24.74,21.47,25.38
91106 (Foil),,31.38,27.55,32.36
222002 (Foil),19.99,24.27,19.0,30.0
222002 (Nonfoil),20.34,16.55,11.0,22.87
221813 (Foil),83.0,89.18,82.0,93.49
221813 (Nonfoil),,46.33,41.9,56.88
5441 (Nonfoil),,83.3,75.0,89.99
5441 (Foil),,,,
221819 (Foil),38.0,32.97,28.62,39.99
221819 (Nonfoil),23.0,22.32,19.48,25.97
190793 (Foil),30.42,30.99,28.15,35.69
190793 (Nonfoil),4.35,4.31,3.0,6.66
175205 (Foil),,19.47,15.8,22.1
175205 (Nonfoil),8.99,8.05,6.5,9.49
6131 (Nonfoil),,28.66,24.0,36.0
6131 (Foil),,,,
92832 (Nonfoil),14.29,13.68,12.19,15.99
92832 (Foil),,28.54,22.88,27.99
218589 (Foil),5.04,4.89,3.92,6.38
218589 (Nonfoil),4.99,4.1,2.0,5.0
92831 (Nonfoil),20.78,22.81,18.22,24.64
92831 (Foil),,37.75,32.8,38.49
162123 (Nonfoil),3.76,3.64,1.25,4.35
162123 (Foil),4.73,6.39,4.66,6.53
6275 (Nonfoil),,63.13,44.49,67.96
6275 (Foil),,297.23,338.79,369.69
212691 (Nonfoil),7.49,6.98,5.0,7.26
212691 (Foil),7.49,7.67,6.81,8.11
212692 (Nonfoil),8.0,7.91,7.0,9.21
212692 (Foil),31.8,32.47,27.0,31.8
5969 (Nonfoil),7.9,12.21,7.44,12.01
5969 (Foil),,,,
6135 (Nonfoil),52.99,75.99,60.0,80.86
6135 (Foil),,699.95,394.95,450.11
222632 (Foil),,,,
222632 (Nonfoil),0.5,0.53,0.25,1.2
35581 (Nonfoil),3.79,4.43,1.52,4.98
35581 (Foil),,10.99,8.01,10.74
91065 (Nonfoil),6.49,9.78,5.94,9.29
91065 (Foil),,17.48,15.09,17.48
192523 (Nonfoil),8.99,9.51,7.11,11.25
192523 (Foil),13.93,15.63,13.93,15.38
139783 (Foil),,,,
139783 (Nonfoil),14.49,13.81,11.0,14.49
183201 (Foil),3.28,2.47,2.05,4.37
183201 (Nonfoil),0.62,0.7,0.25,0.99
47663 (Nonfoil),3.25,2.96,1.06,4.5
47663 (Foil),,32.67,19.2,25.76
68289 (Nonfoil),19.22,18.7,16.75,19.71
68289 (Foil),,42.23,39.02,42.21
130149 (Nonfoil),21.31,21.63,16.0,24.05
130149 (Foil),,28.75,23.75,29.89
114848 (Nonfoil),5.28,5.51,3.14,6.37
114848 (Foil),19.33,19.44,15.0,18.99
145286 (Foil),,21.74,14.21,22.99
145286 (Nonfoil),11.45,9.22,8.88,14.54
100217 (Nonfoil),11.0,10.54,9.29,11.7
100217 (Foil),27.49,26.16,23.0,29.98
206838 (Foil),1.16,1.03,0.5,1.25
206838 (Nonfoil),1.08,0.94,0.25,1.0
206947 (Foil),,5.71,5.0,6.99
206947 (Nonfoil),,2.15,1.39,2.27
167762 (Nonfoil),10.5,9.85,8.51,10.95
167762 (Foil),29.6,29.6,25.86,33.49
145334 (Foil),,14.79,17.94,19.7
145334 (Nonfoil),17.39,14.36,12.5,14.28
226930 (Foil),,1.14,0.35,2.79
226930 (Nonfoil),,0.91,0.45,1.5
122918 (Nonfoil),3.43,3.93,1.69,3.88
122918 (Foil),4.99,5.42,3.91,5.53
218871 (Foil),28.61,24.46,21.99,30.83
218871 (Nonfoil),24.99,20.93,19.94,26.71
215502 (Foil),3.42,3.47,1.28,3.59
215502 (Nonfoil),2.0,2.05,1.29,2.61
215537 (Foil),6.78,7.88,5.1,7.99
215537 (Nonfoil),2.8,2.41,1.5,3.49
78846 (Nonfoil),14.99,15.99,12.43,16.68
78846 (Foil),31.13,35.95,29.0,35.69
192830 (Foil),4.17,4.3,3.5,4.98
192830 (Nonfoil),2.27,2.21,1.18,2.47
113229 (Nonfoil),,1.51,0.5,1.87
113229 (Foil),,,,
198860 (Foil),,1.99,1.1,2.0
198860 (Nonfoil),1.45,1.78,0.49,1.62
94212 (Nonfoil),6.6,6.4,4.91,6.57
94212 (Foil),,,,
215367 (Nonfoil),0.67,0.64,0.15,1.1
215367 (Foil),1.67,1.66,0.94,2.51
218450 (Nonfoil),2.18,1.83,0.79,2.31
218450 (Foil),2.85,3.62,2.54,4.47
176869 (Nonfoil),2.5,2.03,0.8,2.06
176869 (Foil),4.66,3.24,2.0,3.61
176777 (Nonfoil),11.76,11.22,8.99,12.21
176777 (Foil),,19.43,11.83,20.59
212115 (Nonfoil),2.5,2.01,1.0,2.16
212115 (Foil),3.9,2.97,1.99,3.0
212235 (Foil),19.94,18.78,17.99,22.11
212235 (Nonfoil),5.0,4.54,3.0,4.41
98647 (Nonfoil),,14.71,13.04,16.69
98647 (Foil),,33.18,26.0,31.78
207052 (Foil),2.34,2.46,1.32,2.85
207052 (Nonfoil),1.8,1.67,0.59,1.7
36229 (Nonfoil),,8.43,5.45,8.75
36229 (Foil),,21.71,18.29,20.47
82751 (Nonfoil),,10.66,9.0,11.43
82751 (Foil),,,,
71002 (Nonfoil),9.36,9.01,6.99,10.49
71002 (Foil),20.98,24.88,18.99,21.81
206010 (Nonfoil),0.99,1.2,0.72,1.99
206010 (Foil),2.0,2.06,1.5,2.88
206011 (Nonfoil),1.5,1.5,0.75,2.26
206011 (Foil),2.59,2.93,2.0,4.0
206190 (Nonfoil),0.82,0.83,0.25,0.99
206190 (Foil),,0.65,0.49,1.28
27108 (Nonfoil),,9.78,7.59,9.24
27108 (Foil),,31.16,24.6,30.8
5051 (Nonfoil),,31.55,33.71,40.0
5051 (Foil),,,,
188703 (Nonfoil),1.97,1.9,0.78,1.98
188703 (Foil),2.66,3.49,2.66,3.85
13694 (Nonfoil),,12.65,10.49,12.55
13694 (Foil),,23.72,20.6,22.95
188704 (Foil),5.48,5.65,4.0,6.03
188704 (Nonfoil),2.02,1.97,1.49,3.63
222339 (Foil),,,,
222339 (Nonfoil),,5.2,5.72,7.96
188505 (Foil),0.89,1.27,0.87,1.53
188505 (Nonfoil),,,,
119687 (Foil),31.23,28.39,31.23,39.0
119687 (Nonfoil),19.86,17.69,13.47,17.69
190865 (Foil),,22.27,21.5,27.5
190865 (Nonfoil),6.38,6.94,4.0,6.52
188861 (Nonfoil),6.0,5.99,3.9,6.21
188861 (Foil),9.79,11.96,9.79,12.98
82180 (Nonfoil),,9.21,6.81,9.99
82180 (Foil),,34.93,19.26,34.98
107840 (Nonfoil),5.85,3.97,3.5,5.46
107840 (Foil),,,,
469 (Nonfoil),,25.79,33.83,46.49
469 (Foil),,,,
198854 (Nonfoil),0.44,0.43,0.13,0.73
198854 (Foil),0.91,0.73,0.29,1.27
198855 (Nonfoil),1.46,1.49,1.0,2.04
198855 (Foil),5.08,6.71,5.08,8.19
71000 (Nonfoil),4.44,3.57,1.86,4.0
71000 (Foil),,7.24,6.0,9.5
206666 (Foil),,11.51,10.0,12.6
206666 (Nonfoil),12.48,10.8,8.7,11.67
206693 (Nonfoil),12.3,11.31,9.01,11.81
206693 (Foil),17.99,17.12,13.21,18.77
207075 (Foil),2.09,1.74,0.92,1.81
207075 (Nonfoil),1.99,1.8,0.49,1.69
48140 (Nonfoil),,,,
48140 (Foil),,5.85,4.64,5.82
212085 (Foil),0.29,0.3,0.2,0.75
212085 (Nonfoil),0.21,0.24,0.05,0.48
199465 (Foil),1.44,1.36,0.86,1.64
199465 (Nonfoil),1.38,1.18,0.39,1.25
206667 (Foil),4.32,4.32,3.25,4.84
206667 (Nonfoil),3.95,3.73,2.7,4.03
206668 (Nonfoil),7.83,6.7,4.75,6.91
206668 (Foil),,17.38,17.38,19.76
9301 (Nonfoil),,10.11,8.09,9.99
9301 (Foil),,62.98,41.21,64.95
35448 (Nonfoil),11.1,9.95,7.49,10.09
35448 (Foil),,11.53,7.41,17.41
218805 (Foil),30.9,29.73,27.81,38.99
218805 (Nonfoil),24.58,20.29,18.88,27.97
192536 (Nonfoil),1.93,1.92,0.89,2.53
192536 (Foil),2.85,3.51,2.8,4.08
216559 (Nonfoil),,18.18,17.75,19.44
216559 (Foil),,,,
212007 (Nonfoil),34.99,31.27,26.95,33.49
212007 (Foil),45.93,46.55,40.95,52.55
212179 (Foil),9.36,9.39,7.9,10.55
212179 (Nonfoil),8.4,7.15,5.38,8.56
162205 (Nonfoil),7.78,6.77,4.99,7.96
162205 (Foil),,18.79,15.0,20.92
215486 (Nonfoil),,8.87,7.99,11.41
215486 (Foil),,14.92,12.99,18.09
12487 (Nonfoil),,19.41,16.0,18.59
12487 (Foil),33.39,40.9,33.39,41.2
95274 (Nonfoil),11.8,11.59,9.62,15.36
95274 (Foil),27.6,37.89,25.5,34.01
94194 (Nonfoil),11.99,10.29,7.59,9.96
94194 (Foil),,,,
215738 (Nonfoil),0.99,0.8,0.29,1.24
215738 (Foil),1.51,1.52,1.0,2.19
39420 (Nonfoil),,3.67,2.03,4.49
39420 (Foil),,5.65,4.75,6.99
6215 (Nonfoil),16.91,15.53,9.94,17.99
6215 (Foil),,106.35,86.89,117.35
218377 (Foil),,2.57,1.76,3.5
218377 (Nonfoil),2.35,2.49,1.65,2.75
218828 (Nonfoil),5.68,3.93,3.21,4.1
218828 (Foil),,5.09,4.0,5.49
190873 (Foil),34.5,22.95,24.39,34.77
190873 (Nonfoil),10.39,8.14,4.0,10.0
199302 (Foil),,0.99,0.5,1.64
199302 (Nonfoil),0.95,0.85,0.25,1.0
199303 (Foil),12.97,12.14,9.48,12.14
199303 (Nonfoil),2.68,3.0,2.15,3.62
121450 (Foil),93.99,87.65,88.5,94.55
121450 (Nonfoil),15.4,15.02,13.24,16.77
6232 (Nonfoil),78.99,99.51,75.0,90.42
6232 (Foil),,339.94,284.2,348.49
168773 (Foil),,21.11,20.97,24.95
168773 (Nonfoil),15.66,13.54,10.0,14.13
66601 (Nonfoil),2.66,2.81,2.0,4.0
66601 (Foil),11.99,13.82,8.0,13.74
5913 (Nonfoil),9.65,11.53,8.4,12.29
5913 (Foil),,,,
12522 (Nonfoil),,4.0,0.99,4.49
12522 (Foil),,33.2,28.99,33.5
121628 (Nonfoil),19.93,15.26,10.99,14.94
121628 (Foil),63.0,65.39,62.0,69.0
120285 (Foil),,13.26,11.44,13.97
120285 (Nonfoil),6.94,7.48,5.5,7.56
192689 (Nonfoil),1.46,1.25,0.44,1.25
192689 (Foil),2.99,2.39,1.0,2.21
35573 (Nonfoil),13.94,13.97,12.41,14.69
35573 (Foil),,18.09,13.45,22.67
207069 (Nonfoil),1.09,0.95,0.25,1.24
207069 (Foil),,1.08,0.75,1.63
207070 (Foil),,5.34,3.9,5.85
207070 (Nonfoil),2.51,2.28,1.64,2.9
35659 (Nonfoil),3.73,3.91,2.97,4.28
35659 (Foil),,15.2,9.48,14.89
183033 (Foil),38.21,38.96,35.93,45.0
183033 (Nonfoil),19.05,17.31,15.9,18.99
10177 (Nonfoil),,9.73,7.75,9.39
10177 (Foil),,43.75,41.94,45.49
95256 (Nonfoil),1.63,2.14,1.0,2.64
95256 (Foil),5.5,8.82,5.5,7.98
100096 (Nonfoil),9.43,7.81,6.0,9.5
100096 (Foil),,22.77,19.95,21.97
11920 (Nonfoil),19.99,15.22,10.0,14.73
11920 (Foil),,51.84,29.0,48.69
218860 (Foil),19.24,19.83,18.25,24.48
218860 (Nonfoil),21.45,17.09,14.0,21.22
139830 (Foil),,,,
139830 (Nonfoil),,30.88,29.99,37.52
10182 (Nonfoil),,16.16,13.0,16.22
10182 (Foil),46.75,60.0,46.75,48.0
161344 (Foil),,10.16,8.5,10.37
161344 (Nonfoil),8.22,7.11,5.03,7.15
198399 (Foil),,10.18,7.0,10.69
198399 (Nonfoil),,2.45,1.75,3.15
198557 (Nonfoil),1.17,0.85,0.19,1.3
198557 (Foil),1.48,1.37,1.12,2.0
182205 (Nonfoil),1.12,1.0,0.31,1.0
182205 (Foil),,1.76,1.0,2.0
227278 (Nonfoil),0.74,0.81,0.75,1.14
227278 (Foil),,,,
176679 (Nonfoil),0.25,0.32,0.14,0.53
176679 (Foil),1.03,1.07,0.3,1.25
10318 (Nonfoil),5.87,7.33,3.75,8.89
10318 (Foil),,43.29,43.49,45.62
192629 (Foil),,7.15,6.5,9.02
192629 (Nonfoil),6.17,5.63,2.54,5.39
36990 (Nonfoil),,3.22,1.99,4.99
36990 (Foil),,,,
33250 (Nonfoil),,22.74,14.99,19.99
33250 (Foil),31.99,24.86,19.6,44.99
218372 (Nonfoil),4.32,4.18,2.75,4.71
218372 (Foil),5.98,6.42,4.55,6.99
129816 (Foil),24.59,14.47,10.95,16.0
129816 (Nonfoil),6.26,6.56,3.82,7.02
180794 (Foil),13.99,13.75,13.0,17.95
180794 (Nonfoil),8.04,8.04,6.48,8.99
126405 (Foil),,10.57,7.56,10.73
126405 (Nonfoil),5.21,5.52,4.21,6.23
215928 (Foil),,2.59,1.0,3.66
215928 (Nonfoil),,1.55,0.75,1.56
199387 (Foil),15.99,19.28,15.99,19.95
199387 (Nonfoil),12.51,11.1,7.99,15.0
222452 (Nonfoil),,25.99,25.0,35.95
222452 (Foil),,,,
11024 (Nonfoil),23.9,22.02,22.91,25.92
11024 (Foil),,36.52,31.6,36.05
192781 (Foil),4.93,4.21,2.75,5.0
192781 (Nonfoil),2.5,1.64,0.55,2.85
7458 (Nonfoil),9.44,13.04,11.0,12.95
7458 (Foil),,57.5,64.99,69.09
14017 (Nonfoil),12.43,13.21,11.45,13.21
14017 (Foil),,43.92,37.8,41.88
145331 (Foil),,39.7,34.99,40.9
145331 (Nonfoil),30.49,30.77,27.0,31.1
14019 (Nonfoil),12.33,13.35,9.85,16.33
14019 (Foil),42.41,63.18,47.4,56.01
207770 (Foil),165.03,14.01,12.0,21.95
207770 (Nonfoil),,,,
10829 (Nonfoil),,17.54,12.48,17.62
10829 (Foil),114.58,65.25,49.0,64.84
215733 (Foil),,8.1,6.29,10.0
